Monster Hunter Rise,2021,Capcom,PC (Microsoft Windows) / Nintendo Switch
Guilty Gear: Strive,2021,Arc System Works,Arcade / PlayStation 5 / PC (Microsoft Windows) / PlayStation 4
Psychonauts 2,2021,Double Fine Productions,Xbox One / PlayStation 4 / PC (Microsoft Windows) / Xbox Series X|S
It Takes Two,2021,Hazelight Studios,Xbox One / PC (Microsoft Windows) / PlayStation 4 / PlayStation 5 / Xbox Series X|S
The Great Ace Attorney Chronicles,2021,Capcom,PC (Microsoft Windows) / Nintendo Switch / PlayStation 4
Forza Horizon 5,2021,Playground Games,Xbox Series X|S / PC (Microsoft Windows) / Xbox One
Dyson Sphere Program,2021,Youthcat Studio,PC (Microsoft Windows)
Ratchet & Clank: Rift Apart,2021,Insomniac Games,PlayStation 5
Metroid Dread,2021,MercurySteam,Nintendo Switch
Disco Elysium: The Final Cut,2021,ZA/UM,PC (Microsoft Windows) / PlayStation 5 / Nintendo Switch / Xbox One / Xbox Series X|S / PlayStation 4 / Mac / Google Stadia
Inscryption,2021,Daniel Mullins Games,PC (Microsoft Windows)
Super Mario 3D World + Bowser's Fury,2021,Nintendo EAD Tokyo,Nintendo Switch
Eastward,2021,Pixpil Studio,Nintendo Switch / Mac / PC (Microsoft Windows)
Valheim,2021,Iron Gate AB,Linux / PC (Microsoft Windows)
The Forgotten City,2021,Modern Storyteller,PlayStation 5 / Xbox One / PC (Microsoft Windows) / Nintendo Switch / PlayStation 4 / Xbox Series X|S
Death's Door,2021,Acid Nerve,PC (Microsoft Windows) / Xbox One / Xbox Series X|S / PlayStation 5 / PlayStation 4 / Nintendo Switch
ENDER LILIES: Quietus of the Knights,2021,adglobe,Nintendo Switch / PlayStation 4 / PlayStation 5 / Xbox One / Xbox Series X|S / PC (Microsoft Windows)
Strangeland,2021,Wormwood Studios,Mac / PC (Microsoft Windows)
Returnal,2021,Housemarque,PlayStation 5
Portal Reloaded,2021,PORTANIS,PC (Microsoft Windows)
Back 4 Blood,2021,Turtle Rock Studios,Xbox Series X|S / PlayStation 5 / PlayStation 4 / Xbox One / PC (Microsoft Windows)
HITMAN 3,2021,IO Interactive,Xbox One / Google Stadia / PC (Microsoft Windows) / PlayStation 5 / Xbox Series X|S / PlayStation 4
Monster Hunter Stories 2: Wings of Ruin,2021,Capcom,PC (Microsoft Windows) / Nintendo Switch
Bowser's Fury,2021,Nintendo EAD Tokyo,Nintendo Switch
Life is Strange: True Colors,2021,Deck Nine,Google Stadia / PC (Microsoft Windows) / PlayStation 4 / PlayStation 5 / Nintendo Switch / Xbox One / Xbox Series X|S
Little Nightmares II,2021,Tarsier Studios,PC (Microsoft Windows) / PlayStation 5 / Xbox Series X|S / Google Stadia / Xbox One / PlayStation 4 / Nintendo Switch
Resident Evil Village,2021,Capcom,Xbox One / Google Stadia / PlayStation 4 / Xbox Series X|S / PC (Microsoft Windows) / PlayStation 5
NieR Replicant ver.1.22474487139...,2021,Toylogic,PlayStation 4 / PC (Microsoft Windows) / Xbox One
The Binding of Isaac: Repentance,2021,"Nicalis, Inc.",Mac / PlayStation 5 / Nintendo Switch / Xbox Series X|S / PC (Microsoft Windows) / Linux
DEATHLOOP,2021,Arkane Studios,PC (Microsoft Windows) / PlayStation 5
Age of Empires IV,2021,Relic Entertainment,PC (Microsoft Windows)
NEO: The World Ends with You,2021,Square Enix,PlayStation 4 / PC (Microsoft Windows) / Nintendo Switch
No More Heroes III,2021,Grasshopper Manufacture,Nintendo Switch / PC (Microsoft Windows)
Road 96,2021,DigixArt,Nintendo Switch / PC (Microsoft Windows)
Serin Fate,2021,Vethergen,PC (Microsoft Windows)
Encased,2021,Dark Crystal Games,PC (Microsoft Windows) / Mac / Xbox One / PlayStation 4 / Nintendo Switch
Kena: Bridge of Spirits,2021,Ember Lab,PC (Microsoft Windows) / PlayStation 4 / PlayStation 5
Alan Wake Remastered,2021,Remedy Entertainment,PlayStation 4 / PlayStation 5 / Xbox One / Xbox Series X|S / PC (Microsoft Windows)
Knockout City,2021,Velan Studios,PlayStation 4 / PC (Microsoft Windows) / Xbox One / PlayStation 5 / Xbox Series X|S / Nintendo Switch
Far Cry 6,2021,Ubisoft Toronto,Google Stadia / PlayStation 4 / PlayStation 5 / Xbox Series X|S / Xbox One / PC (Microsoft Windows)
Curse of the Dead Gods,2021,Passtech Games,Xbox One / PC (Microsoft Windows) / PlayStation 4 / Nintendo Switch
The Ascent,2021,Neon Giant,Xbox Series X|S / Xbox One / PC (Microsoft Windows)
Tales of Arise,2021,Bandai Namco Entertainment,Xbox One / PlayStation 4 / PC (Microsoft Windows) / PlayStation 5 / Xbox Series X|S
Narita Boy,2021,Studio Koba,PC (Microsoft Windows) / Linux / Nintendo Switch / Mac / PlayStation 4 / Xbox One
HUMANKIND,2021,AMPLITUDE Studios,PC (Microsoft Windows) / Google Stadia / Mac
Last Stop,2021,Variable State,PC (Microsoft Windows) / PlayStation 4 / Nintendo Switch / Xbox One / PlayStation 5 / Xbox Series X|S
Outriders,2021,People Can Fly,Xbox One / PlayStation 4 / PlayStation 5 / PC (Microsoft Windows) / Xbox Series X|S / Google Stadia
Call of Duty: Vanguard,2021,Sledgehammer Games,Xbox Series X|S / Xbox One / PlayStation 4 / PC (Microsoft Windows) / PlayStation 5
Loop Hero,2021,Four Quarters,Nintendo Switch / PC (Microsoft Windows) / Mac / Linux
Scarlet Nexus,2021,Bandai Namco Studios,PlayStation 5 / PC (Microsoft Windows) / Xbox Series X|S / PlayStation 4 / Xbox One
The Dark Pictures Anthology: House of Ashes,2021,Supermassive Games,PC (Microsoft Windows) / Xbox Series X|S / PlayStation 5 / PlayStation 4 / Xbox One
PAC-MAN 99,2021,Arika,Nintendo Switch
Cyber Shadow,2021,Mechanical Head Studios,Xbox One / PlayStation 5 / Nintendo Switch / PlayStation 4 / PC (Microsoft Windows)
WarioWare: Get It Together!,2021,Nintendo EPD,Nintendo Switch
Hot Wheels Unleashed,2021,Milestone,Xbox One / PC (Microsoft Windows) / Xbox Series X|S / PlayStation 5 / PlayStation 4 / Nintendo Switch
Rain on Your Parade,2021,Unbound Creations LLC,Xbox One / Nintendo Switch / Mac / Linux / PC (Microsoft Windows) / Xbox Series X|S
Golf Club: Wasteland,2021,Demagog Studios,Nintendo Switch / PC (Microsoft Windows) / PlayStation 4 / Xbox One
Maquette,2021,Graceful Decay,PC (Microsoft Windows) / PlayStation 4 / PlayStation 5
Totally Accurate Battle Simulator,2021,Landfall Games,Mac / Xbox One / PC (Microsoft Windows)
The Artful Escape,2021,Beethoven & Dinosaur,Xbox Series X|S / PC (Microsoft Windows) / Xbox One
Lust from Beyond,2021,Movie Games Lunarium,PC (Microsoft Windows)
The Medium,2021,Bloober Team,PlayStation 5 / Xbox Series X|S / PC (Microsoft Windows)
Pokémon Unite,2021,Tencent Games,Android / iOS / Nintendo Switch
Skul: The Hero Slayer,2021,SouthPaw Games,PlayStation 4 / Xbox One / PC (Microsoft Windows) / Mac / Linux / Nintendo Switch
Overboard!,2021,inkle,PC (Microsoft Windows) / Mac / iOS / Nintendo Switch
Bravely Default II,2021,Team Asano,PC (Microsoft Windows) / Nintendo Switch
Scott Pilgrim vs. the World: The Game - Complete Edition,2021,Ubisoft Chengdu,PlayStation 4 / Xbox One / PlayStation 5 / Amazon Fire TV / Google Stadia / PC (Microsoft Windows) / Nintendo Switch / Xbox Series X|S
Mario Golf: Super Rush,2021,Camelot,Nintendo Switch
Marvel's Guardians of the Galaxy,2021,Camelot,Xbox One / Xbox Series X|S / PC (Microsoft Windows) / PlayStation 4 / PlayStation 5
Unpacking,2021,Witch Beam,Nintendo Switch / Linux / Mac / PC (Microsoft Windows) / Xbox One